label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li2Fe2S2O-201021-223949-c37d87,21,-452.47529714285713,24.163171333333334,-0.2368,(Pmm2),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-224116-b89d3a,21,-452.8534390476191,21.209466666666668,0.0288,(P31),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-224133-4b3c93,7,-452.61071714285714,19.08587442857143,0.0863,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-224137-adf85d,14,-452.8051778571429,20.335382071428572,-0.0042,(P-1),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-224146-9e6224,21,-452.70441190476186,33.725288666666664,0.0147,(Cm),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-224512-7779a9,21,-452.5375689440476,18.369554904761905,-0.173,(Pm),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-224622-d5feb9,14,-452.71224785714287,18.45319107142857,0.0039,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-224630-151c5c,7,-452.6437228571429,29.806356571428573,-0.072,(Pm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-224630-e5bac5,14,-452.64267,31.113954928571427,-0.0515,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-224700-957a3c,7,-452.5922257142857,18.828945285714287,0.0042,(Fmm2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-225103-c03166,21,-452.46926571428565,25.013582095238093,-0.3618,(Imm2),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-225443-a91363,7,-452.67947714285714,23.94420285714286,0.0496,(Cmm2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-225641-91cc7c,7,-452.63232571428574,21.634750714285712,0.0088,(C2/m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-225957-9d33f9,21,-452.7110847619047,19.734120380952383,-0.0268,(I222),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-230040-cd4d51,7,-452.57156714285713,20.281993857142858,2.3196,(P3m1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-230347-68ae3d,21,-452.86551,16.95047895238095,-0.0828,(P31),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-230352-81306a,14,-452.7636457142857,18.508853,-0.0322,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-230631-84e038,14,-452.29979999999995,16.925088071428572,0.0284,(Pba2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-230730-0607e3,14,-452.8480907142857,16.114341500000002,-0.0209,(Aem2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-230848-2a54b6,7,-451.6735842857143,31.44270142857143,0.0003,(Pmmm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-230906-c04296,7,-452.44181285714285,13.982130142857143,-0.0868,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-231030-34bd0e,21,-452.7377621412381,27.277423095238095,0.0222,(Cm),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-231221-c760a4,7,-452.56379857142855,16.662803571428572,0.0712,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-231237-19cfb9,14,-452.65842642857143,37.81951935714285,0.7699,(Cm),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-231415-8cbb97,14,-452.64649285714285,18.283759571428572,0.0189,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-231629-c5f037,7,-452.6635671428571,17.260660285714287,-0.0176,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-231808-6e7bef,14,-452.86711857142853,23.623791642857146,0.0001,(P21),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-231841-b65372,14,-452.71447785714287,22.35375535714286,-0.0105,(Cmc21),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-231945-7f0839,7,-452.54668285714286,24.564722714285715,0.0318,(P3m1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-232109-7e32ee,7,-452.42328,19.30011557142857,-0.0154,(Cm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-232123-ab49e7,21,-452.77153380952376,22.46062357142857,-0.0673,(Imm2),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-232138-3994d7,14,-452.7936121428571,17.810354928571428,0.0271,(C2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-232557-6a4289,14,-452.68355142857143,24.97093757142857,-0.0553,(P21/m),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-232809-9156d1,21,-452.7453757142857,19.025868666666668,-0.0062,(R3),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-233111-5e5e24,14,-452.8476578571429,16.242461714285714,-0.0079,(Cc),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-233120-bd72eb,7,-452.3571285714285,16.802987857142856,-0.0366,(P2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-233153-08a0e4,7,-452.6776142857143,15.584781428571429,0.0178,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-233335-8aef97,7,-452.34007,20.945745714285714,0.0239,(Pmm2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-233343-db463f,21,-452.7048071428572,18.62686857142857,-0.0187,(F222),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-233610-04c85c,7,-452.1264942857143,15.047136142857143,0.0266,(P4mm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-233913-644b21,21,-452.7563933333334,24.002166047619045,0.0372,(C2),Fe2Li2OS2,3
LFSO-Li2Fe2S2O-201021-233915-55b996,14,-452.852515,18.070911785714284,0.0125,(Fdd2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234142-4abacc,7,-452.6966614285715,14.297296857142857,-0.0097,(R3m),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234231-8e9ef7,7,-451.9372042857143,20.31134342857143,-0.0104,(F222),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234305-403890,14,-452.3509714285714,23.14080557142857,-0.0227,(Pnc2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234353-cd6c30,7,-452.7720628571428,21.222788428571427,0.0072,(P-1),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234427-5000db,14,-452.78256999999996,16.62868507142857,-0.0118,(Aea2),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234621-9bcab7,7,-452.8143142857143,17.76816,0.0589,(Cm),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234640-56b0b2,14,-452.3425764285715,17.299603214285714,0.026,(R3),Fe2Li2OS2,2
LFSO-Li2Fe2S2O-201021-234659-e64025,7,-452.6427442857143,22.199125142857145,0.0243,(Amm2),Fe2Li2OS2,1
LFSO-Li2Fe2S2O-201021-234713-91c35b,21,-452.87985904761905,17.215706142857144,0.2181,(P32),Fe2Li2OS2,3
